,tobs
8319,67
8320,74
8321,70
8322,70
8323,70
8324,71
8325,70
8326,71
8327,71
8328,68
8504,74
8505,75
8506,74
8507,77
8508,76
8509,77
8510,75
8511,76
8512,75
8513,77
8514,75
8515,77
8516,74
8517,78
8518,77
8519,76
8520,69
8521,70
8522,64
8523,75
8679,69
8680,65
8681,76
8682,81
8683,71
8684,71
8685,71
8686,82
8687,74
8688,75
8689,77
8690,74
8691,68
8880,72
8881,70
8882,68
8883,74
8884,71
8885,70
8886,70
8887,70
8888,68
8889,68
8890,68
8891,66
8892,71
8893,76
8894,73
8895,70
8896,68
8897,71
8898,71
8899,68
9227,71
9228,70
9229,73
9230,78
9231,76
9232,73
9233,74
9234,63
9235,72
9236,75
9237,74
9238,72
9239,68
9437,74
9438,73
9482,73
9483,72
9484,73
9485,72
9849,78
9850,74
9851,74
9852,78
9853,78
9854,61
9855,69
9856,65
9857,77
9858,67
9859,69
9860,75
9861,67
9862,71
9863,74
9864,66
9865,66
9866,77
9867,70
9868,73
9869,71
9870,71
9871,71
9872,67
9873,71
9874,74
9875,76
9876,72
9877,74
9878,75
9879,69
10211,69
10212,69
10213,75
10214,73
10215,73
10216,72
10217,72
10218,72
10219,74
10220,72
10221,73
10222,73
10223,73
10224,73
10225,74
10226,73
10227,71
10228,72
10229,73
10230,74
10231,72
10232,73
10233,73
10234,71
10235,73
10236,75
10237,71
10238,72
10239,73
10240,71
10241,65
10576,77
10577,72
10578,78
10579,71
10580,72
10581,71
10582,72
10583,76
10584,75
10585,75
10586,76
10587,73
10588,72
10589,74
10590,74
10591,74
10592,73
10593,77
10594,73
10595,70
10596,72
10597,76
10598,65
10599,74
10600,73
10601,77
10602,76
10603,69
10604,78
10605,76
10606,68
10927,76
10928,68
10929,79
10930,69
10931,64
10932,70
10933,69
10934,73
10935,70
10936,74
10937,76
10938,76
10939,69
10940,73
10941,73
10942,65
10943,70
10944,72
10945,72
10946,75
10947,74
10948,69
10949,73
10950,75
10951,76
10952,74
10953,73
10954,74
10955,71
10956,72
10957,73
11261,72
11262,72
11263,73
11264,72
11265,75
11266,76
11267,67
11268,69
11269,70
11270,75
11271,74
11272,71
11273,74
11274,71
11275,72
11276,74
11277,75
11278,73
11279,75
11280,76
11281,68
11282,71
11283,68
11284,66
11285,63
11286,62
11287,67
11288,68
11289,63
11290,56
11606,76
11607,75
11608,74
11609,76
11610,69
11611,71
11612,72
11613,74
11614,75
11615,72
11616,78
11617,69
11618,75
11619,75
11620,74
11621,74
11622,76
11623,73
11624,75
11625,75
11626,74
11627,79
11628,75
11629,76
11630,76
11631,69
11632,72
11948,76
11949,75
11950,75
